,sentence,sentence_opposite,DP,DP_opposite,D,D_opposite,A,A_opposite,N,N_opposite,ADV,ADV_opposite,V,V_opposite,other_args,other_args_opposite,label,pairID,slen
9496,Those confident actors scarcely fix the chair nowadays.,That confident actor scarcely fixes the chair nowadays.,Those actors,That actor,Those,That,confident,confident,actors,actor,scarcely,scarcely,fix,fixes,"['the', 'chair']","['the', 'chair']",1,9496,8
9499,These important committees barely hurt the podiatrists nowadays.,This important committee barely hurts the podiatrists nowadays.,These committees,This committee,These,This,important,important,committees,committee,barely,barely,hurt,hurts,"['the', 'podiatrists']","['the', 'podiatrists']",1,9499,8
9500,Those good pedestrians ever shake the oncologist nowadays.,That good pedestrian ever shakes the oncologist nowadays.,Those pedestrians,That pedestrian,Those,That,good,good,pedestrians,pedestrian,ever,ever,shake,shakes,"['the', 'oncologist']","['the', 'oncologist']",1,9500,8
9501,That popular girl always draws the skateboards nowadays.,Those popular girls always draw the skateboards nowadays.,That girl,Those girls,That,Those,popular,popular,girl,girls,always,always,draws,draw,"['the', 'skateboards']","['the', 'skateboards']",0,9501,8
9503,Those kind turtles scarcely hurt the dancers nowadays.,That kind turtle scarcely hurts the dancers nowadays.,Those turtles,That turtle,Those,That,kind,kind,turtles,turtle,scarcely,scarcely,hurt,hurts,"['the', 'dancers']","['the', 'dancers']",1,9503,8
9504,That cruel guest ever researches the sketches nowadays.,Those cruel guests ever research the sketches nowadays.,That guest,Those guests,That,Those,cruel,cruel,guest,guests,ever,ever,researches,research,"['the', 'sketches']","['the', 'sketches']",0,9504,8
9505,Those thin customers barely see the horses nowadays.,That thin customer barely sees the horses nowadays.,Those customers,That customer,Those,That,thin,thin,customers,customer,barely,barely,see,sees,"['the', 'horses']","['the', 'horses']",1,9505,8
9507,This smart teacher barely overwhelms the bank nowadays.,These smart teachers barely overwhelm the bank nowadays.,This teacher,These teachers,This,These,smart,smart,teacher,teachers,barely,barely,overwhelms,overwhelm,"['the', 'bank']","['the', 'bank']",0,9507,8
9508,That wet closet sometimes shocks the dermatologists nowadays.,Those wet closets sometimes shock the dermatologists nowadays.,That closet,Those closets,That,Those,wet,wet,closet,closets,sometimes,sometimes,shocks,shock,"['the', 'dermatologists']","['the', 'dermatologists']",0,9508,8
9512,Those short senators scarcely hear the waiters nowadays.,That short senator scarcely hears the waiters nowadays.,Those senators,That senator,Those,That,short,short,senators,senator,scarcely,scarcely,hear,hears,"['the', 'waiters']","['the', 'waiters']",1,9512,8
9513,These healthy tutors often hate the cakes nowadays.,This healthy tutor often hates the cakes nowadays.,These tutors,This tutor,These,This,healthy,healthy,tutors,tutor,often,often,hate,hates,"['the', 'cakes']","['the', 'cakes']",1,9513,8
9515,Those broad banks barely choose the light nowadays.,That broad bank barely chooses the light nowadays.,Those banks,That bank,Those,That,broad,broad,banks,bank,barely,barely,choose,chooses,"['the', 'light']","['the', 'light']",1,9515,8
9516,That sick patient sometimes describes the hospital nowadays.,Those sick patients sometimes describe the hospital nowadays.,That patient,Those patients,That,Those,sick,sick,patient,patients,sometimes,sometimes,describes,describe,"['the', 'hospital']","['the', 'hospital']",0,9516,8
9517,That smart customer barely rides the cart nowadays.,Those smart customers barely ride the cart nowadays.,That customer,Those customers,That,Those,smart,smart,customer,customers,barely,barely,rides,ride,"['the', 'cart']","['the', 'cart']",0,9517,8
9519,Those authentic actresses seldom bite the eggplants nowadays.,That authentic actress seldom bites the eggplants nowadays.,Those actresses,That actress,Those,That,authentic,authentic,actresses,actress,seldom,seldom,bite,bites,"['the', 'eggplants']","['the', 'eggplants']",1,9519,8
9521,That lucky adult hardly describes the lake nowadays.,Those lucky adults hardly describe the lake nowadays.,That adult,Those adults,That,Those,lucky,lucky,adult,adults,hardly,hardly,describes,describe,"['the', 'lake']","['the', 'lake']",0,9521,8
9522,These tall actors hardly sell the rice nowadays.,This tall actor hardly sells the rice nowadays.,These actors,This actor,These,This,tall,tall,actors,actor,hardly,hardly,sell,sells,"['the', 'rice']","['the', 'rice']",1,9522,8
9523,Those delighted partners ever bother the cashier nowadays.,That delighted partner ever bothers the cashier nowadays.,Those partners,That partner,Those,That,delighted,delighted,partners,partner,ever,ever,bother,bothers,"['the', 'cashier']","['the', 'cashier']",1,9523,8
9524,These troubled patients hardly sweep the kitchen nowadays.,This troubled patient hardly sweeps the kitchen nowadays.,These patients,This patient,These,This,troubled,troubled,patients,patient,hardly,hardly,sweep,sweeps,"['the', 'kitchen']","['the', 'kitchen']",1,9524,8
9525,This good organization ever appreciates the man nowadays.,These good organizations ever appreciate the man nowadays.,This organization,These organizations,This,These,good,good,organization,organizations,ever,ever,appreciates,appreciate,"['the', 'man']","['the', 'man']",0,9525,8
9526,This dry customer ever approaches the actors nowadays.,These dry customers ever approach the actors nowadays.,This customer,These customers,This,These,dry,dry,customer,customers,ever,ever,approaches,approach,"['the', 'actors']","['the', 'actors']",0,9526,8
9528,Those determined associates ever drink the cocktail nowadays.,That determined associate ever drinks the cocktail nowadays.,Those associates,That associate,Those,That,determined,determined,associates,associate,ever,ever,drink,drinks,"['the', 'cocktail']","['the', 'cocktail']",1,9528,8
9529,These busy patients scarcely discuss the contractor nowadays.,This busy patient scarcely discusses the contractor nowadays.,These patients,This patient,These,This,busy,busy,patients,patient,scarcely,scarcely,discuss,discusses,"['the', 'contractor']","['the', 'contractor']",1,9529,8
9530,Those happy boys barely purchase the convertibles nowadays.,That happy boy barely purchases the convertibles nowadays.,Those boys,That boy,Those,That,happy,happy,boys,boy,barely,barely,purchase,purchases,"['the', 'convertibles']","['the', 'convertibles']",1,9530,8
9531,Those nice drivers scarcely attack the handymen nowadays.,That nice driver scarcely attacks the handymen nowadays.,Those drivers,That driver,Those,That,nice,nice,drivers,driver,scarcely,scarcely,attack,attacks,"['the', 'handymen']","['the', 'handymen']",1,9531,8
9532,Those youthful guests ever repair the cups nowadays.,That youthful guest ever repairs the cups nowadays.,Those guests,That guest,Those,That,youthful,youthful,guests,guest,ever,ever,repair,repairs,"['the', 'cups']","['the', 'cups']",1,9532,8
9533,That fat girl barely finds the tutors nowadays.,Those fat girls barely find the tutors nowadays.,That girl,Those girls,That,Those,fat,fat,girl,girls,barely,barely,finds,find,"['the', 'tutors']","['the', 'tutors']",0,9533,8
9534,These intriguing essays always annoy the associates nowadays.,This intriguing essay always annoys the associates nowadays.,These essays,This essay,These,This,intriguing,intriguing,essays,essay,always,always,annoy,annoys,"['the', 'associates']","['the', 'associates']",1,9534,8
9535,This disorganized dentist seldom strikes the cashiers nowadays.,These disorganized dentists seldom strike the cashiers nowadays.,This dentist,These dentists,This,These,disorganized,disorganized,dentist,dentists,seldom,seldom,strikes,strike,"['the', 'cashiers']","['the', 'cashiers']",0,9535,8
9536,Those careful senators ever like the vase nowadays.,That careful senator ever likes the vase nowadays.,Those senators,That senator,Those,That,careful,careful,senators,senator,ever,ever,like,likes,"['the', 'vase']","['the', 'vase']",1,9536,8
9538,These small dermatologists barely boycott the lake nowadays.,This small dermatologist barely boycotts the lake nowadays.,These dermatologists,This dermatologist,These,This,small,small,dermatologists,dermatologist,barely,barely,boycott,boycotts,"['the', 'lake']","['the', 'lake']",1,9538,8
9539,That fat guy seldom tears the shoe nowadays.,Those fat guys seldom tear the shoe nowadays.,That guy,Those guys,That,Those,fat,fat,guy,guys,seldom,seldom,tears,tear,"['the', 'shoe']","['the', 'shoe']",0,9539,8
9540,This disorganized teacher ever questions the dermatologist nowadays.,These disorganized teachers ever question the dermatologist nowadays.,This teacher,These teachers,This,These,disorganized,disorganized,teacher,teachers,ever,ever,questions,question,"['the', 'dermatologist']","['the', 'dermatologist']",0,9540,8
9541,This small hat rarely aids the doctors nowadays.,These small hats rarely aid the doctors nowadays.,This hat,These hats,This,These,small,small,hat,hats,rarely,rarely,aids,aid,"['the', 'doctors']","['the', 'doctors']",0,9541,8
9542,This nice podiatrist barely boycotts the legislature nowadays.,These nice podiatrists barely boycott the legislature nowadays.,This podiatrist,These podiatrists,This,These,nice,nice,podiatrist,podiatrists,barely,barely,boycotts,boycott,"['the', 'legislature']","['the', 'legislature']",0,9542,8
9543,This employed waiter barely steals the computer nowadays.,These employed waiters barely steal the computer nowadays.,This waiter,These waiters,This,These,employed,employed,waiter,waiters,barely,barely,steals,steal,"['the', 'computer']","['the', 'computer']",0,9543,8
9544,This serious dancer scarcely hates the kitchens nowadays.,These serious dancers scarcely hate the kitchens nowadays.,This dancer,These dancers,This,These,serious,serious,dancer,dancers,scarcely,scarcely,hates,hate,"['the', 'kitchens']","['the', 'kitchens']",0,9544,8
9545,These important fish rarely underwhelm the partner nowadays.,This important fish rarely underwhelms the partner nowadays.,These fish,This fish,These,This,important,important,fish,fish,rarely,rarely,underwhelm,underwhelms,"['the', 'partner']","['the', 'partner']",1,9545,8
9546,That old teacher seldom scans the essay nowadays.,Those old teachers seldom scan the essay nowadays.,That teacher,Those teachers,That,Those,old,old,teacher,teachers,seldom,seldom,scans,scan,"['the', 'essay']","['the', 'essay']",0,9546,8
9547,This content dentist seldom builds the library nowadays.,These content dentists seldom build the library nowadays.,This dentist,These dentists,This,These,content,content,dentist,dentists,seldom,seldom,builds,build,"['the', 'library']","['the', 'library']",0,9547,8
9548,That serious guest seldom tears the scarves nowadays.,Those serious guests seldom tear the scarves nowadays.,That guest,Those guests,That,Those,serious,serious,guest,guests,seldom,seldom,tears,tear,"['the', 'scarves']","['the', 'scarves']",0,9548,8
9550,This important skirt rarely bothers the boys nowadays.,These important skirts rarely bother the boys nowadays.,This skirt,These skirts,This,These,important,important,skirt,skirts,rarely,rarely,bothers,bother,"['the', 'boys']","['the', 'boys']",0,9550,8
9551,That wide plate often scares the adults nowadays.,Those wide plates often scare the adults nowadays.,That plate,Those plates,That,Those,wide,wide,plate,plates,often,often,scares,scare,"['the', 'adults']","['the', 'adults']",0,9551,8
9552,Those normal governments rarely purchase the rivers nowadays.,That normal government rarely purchases the rivers nowadays.,Those governments,That government,Those,That,normal,normal,governments,government,rarely,rarely,purchase,purchases,"['the', 'rivers']","['the', 'rivers']",1,9552,8
9553,This important bank always discusses the girls nowadays.,These important banks always discuss the girls nowadays.,This bank,These banks,This,These,important,important,bank,banks,always,always,discusses,discuss,"['the', 'girls']","['the', 'girls']",0,9553,8
9555,That uncertain dermatologist rarely repairs the boats nowadays.,Those uncertain dermatologists rarely repair the boats nowadays.,That dermatologist,Those dermatologists,That,Those,uncertain,uncertain,dermatologist,dermatologists,rarely,rarely,repairs,repair,"['the', 'boats']","['the', 'boats']",0,9555,8
9556,This big slope hardly astounds the associate nowadays.,These big slopes hardly astound the associate nowadays.,This slope,These slopes,This,These,big,big,slope,slopes,hardly,hardly,astounds,astound,"['the', 'associate']","['the', 'associate']",0,9556,8
9557,That careless senator sometimes hinders the legislatures nowadays.,Those careless senators sometimes hinder the legislatures nowadays.,That senator,Those senators,That,Those,careless,careless,senator,senators,sometimes,sometimes,hinders,hinder,"['the', 'legislatures']","['the', 'legislatures']",0,9557,8
9558,These unlucky plumbers always catch the hairdresser nowadays.,This unlucky plumber always catches the hairdresser nowadays.,These plumbers,This plumber,These,This,unlucky,unlucky,plumbers,plumber,always,always,catch,catches,"['the', 'hairdresser']","['the', 'hairdresser']",1,9558,8
9559,These tiny hairdressers ever pass the library nowadays.,This tiny hairdresser ever passes the library nowadays.,These hairdressers,This hairdresser,These,This,tiny,tiny,hairdressers,hairdresser,ever,ever,pass,passes,"['the', 'library']","['the', 'library']",1,9559,8
9560,These attractive teachers always criticize the doctors nowadays.,This attractive teacher always criticizes the doctors nowadays.,These teachers,This teacher,These,This,attractive,attractive,teachers,teacher,always,always,criticize,criticizes,"['the', 'doctors']","['the', 'doctors']",1,9560,8
9561,Those disorganized partners rarely forgive the handyman nowadays.,That disorganized partner rarely forgives the handyman nowadays.,Those partners,That partner,Those,That,disorganized,disorganized,partners,partner,rarely,rarely,forgive,forgives,"['the', 'handyman']","['the', 'handyman']",1,9561,8
9565,This beautiful podiatrist always loses the closet nowadays.,These beautiful podiatrists always lose the closet nowadays.,This podiatrist,These podiatrists,This,These,beautiful,beautiful,podiatrist,podiatrists,always,always,loses,lose,"['the', 'closet']","['the', 'closet']",0,9565,8
9566,These slim lawyers ever sweep the floor nowadays.,This slim lawyer ever sweeps the floor nowadays.,These lawyers,This lawyer,These,This,slim,slim,lawyers,lawyer,ever,ever,sweep,sweeps,"['the', 'floor']","['the', 'floor']",1,9566,8
9567,This fake cashier rarely gets the cup nowadays.,These fake cashiers rarely get the cup nowadays.,This cashier,These cashiers,This,These,fake,fake,cashier,cashiers,rarely,rarely,gets,get,"['the', 'cup']","['the', 'cup']",0,9567,8
9568,These organized dancers seldom appreciate the guests nowadays.,This organized dancer seldom appreciates the guests nowadays.,These dancers,This dancer,These,This,organized,organized,dancers,dancer,seldom,seldom,appreciate,appreciates,"['the', 'guests']","['the', 'guests']",1,9568,8
9569,Those unsure plumbers often steal the carriage nowadays.,That unsure plumber often steals the carriage nowadays.,Those plumbers,That plumber,Those,That,unsure,unsure,plumbers,plumber,often,often,steal,steals,"['the', 'carriage']","['the', 'carriage']",1,9569,8
9571,Those exposed cashiers sometimes question the dentists nowadays.,That exposed cashier sometimes questions the dentists nowadays.,Those cashiers,That cashier,Those,That,exposed,exposed,cashiers,cashier,sometimes,sometimes,question,questions,"['the', 'dentists']","['the', 'dentists']",1,9571,8
9572,That smart electrician sometimes underwhelms the actor nowadays.,Those smart electricians sometimes underwhelm the actor nowadays.,That electrician,Those electricians,That,Those,smart,smart,electrician,electricians,sometimes,sometimes,underwhelms,underwhelm,"['the', 'actor']","['the', 'actor']",0,9572,8
9573,Those hard prints often hinder the actor nowadays.,That hard print often hinders the actor nowadays.,Those prints,That print,Those,That,hard,hard,prints,print,often,often,hinder,hinders,"['the', 'actor']","['the', 'actor']",1,9573,8
9575,This delighted pedestrian often lights the projector nowadays.,These delighted pedestrians often light the projector nowadays.,This pedestrian,These pedestrians,This,These,delighted,delighted,pedestrian,pedestrians,often,often,lights,light,"['the', 'projector']","['the', 'projector']",0,9575,8
9577,This sad girl scarcely criticizes the contractors nowadays.,These sad girls scarcely criticize the contractors nowadays.,This girl,These girls,This,These,sad,sad,girl,girls,scarcely,scarcely,criticizes,criticize,"['the', 'contractors']","['the', 'contractors']",0,9577,8
9579,This clever guest barely holds the wheelbarrow nowadays.,These clever guests barely hold the wheelbarrow nowadays.,This guest,These guests,This,These,clever,clever,guest,guests,barely,barely,holds,hold,"['the', 'wheelbarrow']","['the', 'wheelbarrow']",0,9579,8
9580,These good companies often fires the teacher nowadays.,This good company often fire the teacher nowadays.,These companies,This company,These,This,good,good,companies,company,often,often,fires,fire,"['the', 'teacher']","['the', 'teacher']",1,9580,8
9581,Those ugly customers ever visit the handymen nowadays.,That ugly customer ever visits the handymen nowadays.,Those customers,That customer,Those,That,ugly,ugly,customers,customer,ever,ever,visit,visits,"['the', 'handymen']","['the', 'handymen']",1,9581,8
9582,This determined waitress always hires the dancer nowadays.,These determined waitresses always hire the dancer nowadays.,This waitress,These waitresses,This,These,determined,determined,waitress,waitresses,always,always,hires,hire,"['the', 'dancer']","['the', 'dancer']",0,9582,8
9583,These authentic tunes hardly harm the teachers nowadays.,This authentic tune hardly harms the teachers nowadays.,These tunes,This tune,These,This,authentic,authentic,tunes,tune,hardly,hardly,harm,harms,"['the', 'teachers']","['the', 'teachers']",1,9583,8
9584,This real guest often exposes the plumber nowadays.,These real guests often expose the plumber nowadays.,This guest,These guests,This,These,real,real,guest,guests,often,often,exposes,expose,"['the', 'plumber']","['the', 'plumber']",0,9584,8
9585,These cool podiatrists hardly explore the mountain nowadays.,This cool podiatrist hardly explores the mountain nowadays.,These podiatrists,This podiatrist,These,This,cool,cool,podiatrists,podiatrist,hardly,hardly,explore,explores,"['the', 'mountain']","['the', 'mountain']",1,9585,8
9586,This young actor always draws the juice nowadays.,These young actors always draw the juice nowadays.,This actor,These actors,This,These,young,young,actor,actors,always,always,draws,draw,"['the', 'juice']","['the', 'juice']",0,9586,8
9588,Those employed hairdressers barely attack the girl nowadays.,That employed hairdresser barely attacks the girl nowadays.,Those hairdressers,That hairdresser,Those,That,employed,employed,hairdressers,hairdresser,barely,barely,attack,attacks,"['the', 'girl']","['the', 'girl']",1,9588,8
9591,Those unusual tunes scarcely upset the governments nowadays.,That unusual tune scarcely upsets the governments nowadays.,Those tunes,That tune,Those,That,unusual,unusual,tunes,tune,scarcely,scarcely,upset,upsets,"['the', 'governments']","['the', 'governments']",1,9591,8
9592,Those dry books ever underwhelm the doctor nowadays.,That dry book ever underwhelms the doctor nowadays.,Those books,That book,Those,That,dry,dry,books,book,ever,ever,underwhelm,underwhelms,"['the', 'doctor']","['the', 'doctor']",1,9592,8
9593,That tiny candle ever helps the man nowadays.,Those tiny candles ever help the man nowadays.,That candle,Those candles,That,Those,tiny,tiny,candle,candles,ever,ever,helps,help,"['the', 'man']","['the', 'man']",0,9593,8
9594,These fake governments rarely fight the waitress nowadays.,This fake government rarely fights the waitress nowadays.,These governments,This government,These,This,fake,fake,governments,government,rarely,rarely,fight,fights,"['the', 'waitress']","['the', 'waitress']",1,9594,8
9597,That unsure partner rarely leads the waitress nowadays.,Those unsure partners rarely lead the waitress nowadays.,That partner,Those partners,That,Those,unsure,unsure,partner,partners,rarely,rarely,leads,lead,"['the', 'waitress']","['the', 'waitress']",0,9597,8
9598,Those excited teachers ever alarm the girls nowadays.,That excited teacher ever alarms the girls nowadays.,Those teachers,That teacher,Those,That,excited,excited,teachers,teacher,ever,ever,alarm,alarms,"['the', 'girls']","['the', 'girls']",1,9598,8
9600,Those false hairdressers ever freeze the soda nowadays.,That false hairdresser ever freezes the soda nowadays.,Those hairdressers,That hairdresser,Those,That,false,false,hairdressers,hairdresser,ever,ever,freeze,freezes,"['the', 'soda']","['the', 'soda']",1,9600,8
9601,That unusual truck often irritates the government nowadays.,Those unusual trucks often irritate the government nowadays.,That truck,Those trucks,That,Those,unusual,unusual,truck,trucks,often,often,irritates,irritate,"['the', 'government']","['the', 'government']",0,9601,8
9602,Those new restaurants hardly disturb the women nowadays.,That new restaurant hardly disturbs the women nowadays.,Those restaurants,That restaurant,Those,That,new,new,restaurants,restaurant,hardly,hardly,disturb,disturbs,"['the', 'women']","['the', 'women']",1,9602,8
9603,Those careful teachers ever reveal the couches nowadays.,That careful teacher ever reveals the couches nowadays.,Those teachers,That teacher,Those,That,careful,careful,teachers,teacher,ever,ever,reveal,reveals,"['the', 'couches']","['the', 'couches']",1,9603,8
9604,This excited cashier barely fixes the skateboard nowadays.,These excited cashiers barely fix the skateboard nowadays.,This cashier,These cashiers,This,These,excited,excited,cashier,cashiers,barely,barely,fixes,fix,"['the', 'skateboard']","['the', 'skateboard']",0,9604,8
9605,That normal tutor sometimes appreciates the lawyers nowadays.,Those normal tutors sometimes appreciate the lawyers nowadays.,That tutor,Those tutors,That,Those,normal,normal,tutor,tutors,sometimes,sometimes,appreciates,appreciate,"['the', 'lawyers']","['the', 'lawyers']",0,9605,8
9606,Those tall waitresses hardly reveal the canoe nowadays.,That tall waitress hardly reveals the canoe nowadays.,Those waitresses,That waitress,Those,That,tall,tall,waitresses,waitress,hardly,hardly,reveal,reveals,"['the', 'canoe']","['the', 'canoe']",1,9606,8
9607,This authentic guest often finds the skirt nowadays.,These authentic guests often find the skirt nowadays.,This guest,These guests,This,These,authentic,authentic,guest,guests,often,often,finds,find,"['the', 'skirt']","['the', 'skirt']",0,9607,8
9608,This unconvinced contractor hardly attacks the student nowadays.,These unconvinced contractors hardly attack the student nowadays.,This contractor,These contractors,This,These,unconvinced,unconvinced,contractor,contractors,hardly,hardly,attacks,attack,"['the', 'student']","['the', 'student']",0,9608,8
9610,That ordinary melody rarely disturbs the guys nowadays.,Those ordinary melodies rarely disturb the guys nowadays.,That melody,Those melodies,That,Those,ordinary,ordinary,melody,melodies,rarely,rarely,disturbs,disturb,"['the', 'guys']","['the', 'guys']",0,9610,8
9611,That cheap fish hardly bothers the government nowadays.,Those cheap fish hardly bother the government nowadays.,That fish,Those fish,That,Those,cheap,cheap,fish,fish,hardly,hardly,bothers,bother,"['the', 'government']","['the', 'government']",0,9611,8
9612,Those skinny ladies ever break the plate nowadays.,That skinny lady ever breaks the plate nowadays.,Those ladies,That lady,Those,That,skinny,skinny,ladies,lady,ever,ever,break,breaks,"['the', 'plate']","['the', 'plate']",1,9612,8
9613,These unemployed partners barely observe the waiter nowadays.,This unemployed partner barely observes the waiter nowadays.,These partners,This partner,These,This,unemployed,unemployed,partners,partner,barely,barely,observe,observes,"['the', 'waiter']","['the', 'waiter']",1,9613,8
9615,Those dumb cashiers barely insult the books nowadays.,That dumb cashier barely insults the books nowadays.,Those cashiers,That cashier,Those,That,dumb,dumb,cashiers,cashier,barely,barely,insult,insults,"['the', 'books']","['the', 'books']",1,9615,8
9616,That good lawyer always examines the commentaries nowadays.,Those good lawyers always examine the commentaries nowadays.,That lawyer,Those lawyers,That,Those,good,good,lawyer,lawyers,always,always,examines,examine,"['the', 'commentaries']","['the', 'commentaries']",0,9616,8
9617,That upset customer hardly aids the associates nowadays.,Those upset customers hardly aid the associates nowadays.,That customer,Those customers,That,Those,upset,upset,customer,customers,hardly,hardly,aids,aid,"['the', 'associates']","['the', 'associates']",0,9617,8
9619,That boring adult hardly stuns the cashier nowadays.,Those boring adults hardly stun the cashier nowadays.,That adult,Those adults,That,Those,boring,boring,adult,adults,hardly,hardly,stuns,stun,"['the', 'cashier']","['the', 'cashier']",0,9619,8
9620,Those bad drivers hardly draw the rivers nowadays.,That bad driver hardly draws the rivers nowadays.,Those drivers,That driver,Those,That,bad,bad,drivers,driver,hardly,hardly,draw,draws,"['the', 'rivers']","['the', 'rivers']",1,9620,8
9623,That sick pedestrian hardly grows the spinach nowadays.,Those sick pedestrians hardly grow the spinach nowadays.,That pedestrian,Those pedestrians,That,Those,sick,sick,pedestrian,pedestrians,hardly,hardly,grows,grow,"['the', 'spinach']","['the', 'spinach']",0,9623,8
9625,This terrible actor ever loves the pasta nowadays.,These terrible actors ever love the pasta nowadays.,This actor,These actors,This,These,terrible,terrible,actor,actors,ever,ever,loves,love,"['the', 'pasta']","['the', 'pasta']",0,9625,8
9626,This real handyman always knows the boys nowadays.,These real handymen always know the boys nowadays.,This handyman,These handymen,This,These,real,real,handyman,handymen,always,always,knows,know,"['the', 'boys']","['the', 'boys']",0,9626,8
9627,This skinny tutor hardly attacks the dentists nowadays.,These skinny tutors hardly attack the dentists nowadays.,This tutor,These tutors,This,These,skinny,skinny,tutor,tutors,hardly,hardly,attacks,attack,"['the', 'dentists']","['the', 'dentists']",0,9627,8
9629,This popular guy sometimes rides the bikes nowadays.,These popular guys sometimes ride the bikes nowadays.,This guy,These guys,This,These,popular,popular,guy,guys,sometimes,sometimes,rides,ride,"['the', 'bikes']","['the', 'bikes']",0,9629,8
9632,That good actor always understands the senator nowadays.,Those good actors always understand the senator nowadays.,That actor,Those actors,That,Those,good,good,actor,actors,always,always,understands,understand,"['the', 'senator']","['the', 'senator']",0,9632,8
9633,This small car hardly bothers the podiatrists nowadays.,These small cars hardly bother the podiatrists nowadays.,This car,These cars,This,These,small,small,car,cars,hardly,hardly,bothers,bother,"['the', 'podiatrists']","['the', 'podiatrists']",0,9633,8
9634,This ill teenager often holds the girl nowadays.,These ill teenagers often hold the girl nowadays.,This teenager,These teenagers,This,These,ill,ill,teenager,teenagers,often,often,holds,hold,"['the', 'girl']","['the', 'girl']",0,9634,8
9635,This troubled pedestrian barely sings the opera nowadays.,These troubled pedestrians barely sing the opera nowadays.,This pedestrian,These pedestrians,This,These,troubled,troubled,pedestrian,pedestrians,barely,barely,sings,sing,"['the', 'opera']","['the', 'opera']",0,9635,8
9636,Those nice drivers always resemble the picture nowadays.,That nice driver always resembles the picture nowadays.,Those drivers,That driver,Those,That,nice,nice,drivers,driver,always,always,resemble,resembles,"['the', 'picture']","['the', 'picture']",1,9636,8
9637,That lucky senator rarely notices the screens nowadays.,Those lucky senators rarely notice the screens nowadays.,That senator,Those senators,That,Those,lucky,lucky,senator,senators,rarely,rarely,notices,notice,"['the', 'screens']","['the', 'screens']",0,9637,8
9638,Those large oncologists seldom fight the universities nowadays.,That large oncologist seldom fights the universities nowadays.,Those oncologists,That oncologist,Those,That,large,large,oncologists,oncologist,seldom,seldom,fight,fights,"['the', 'universities']","['the', 'universities']",1,9638,8
9639,Those upset dermatologists always watch the cashiers nowadays.,That upset dermatologist always watches the cashiers nowadays.,Those dermatologists,That dermatologist,Those,That,upset,upset,dermatologists,dermatologist,always,always,watch,watches,"['the', 'cashiers']","['the', 'cashiers']",1,9639,8
9640,That ill teacher often holds the screen nowadays.,Those ill teachers often hold the screen nowadays.,That teacher,Those teachers,That,Those,ill,ill,teacher,teachers,often,often,holds,hold,"['the', 'screen']","['the', 'screen']",0,9640,8
9641,That broad library seldom has the ladder nowadays.,Those broad libraries seldom have the ladder nowadays.,That library,Those libraries,That,Those,broad,broad,library,libraries,seldom,seldom,has,have,"['the', 'ladder']","['the', 'ladder']",0,9641,8
9642,That big customer seldom describes the essays nowadays.,Those big customers seldom describe the essays nowadays.,That customer,Those customers,That,Those,big,big,customer,customers,seldom,seldom,describes,describe,"['the', 'essays']","['the', 'essays']",0,9642,8
9643,This dumb lady hardly watches the cashiers nowadays.,These dumb ladies hardly watch the cashiers nowadays.,This lady,These ladies,This,These,dumb,dumb,lady,ladies,hardly,hardly,watches,watch,"['the', 'cashiers']","['the', 'cashiers']",0,9643,8
9644,These big photographs rarely bother the podiatrist nowadays.,This big photograph rarely bothers the podiatrist nowadays.,These photographs,This photograph,These,This,big,big,photographs,photograph,rarely,rarely,bother,bothers,"['the', 'podiatrist']","['the', 'podiatrist']",1,9644,8
9645,Those skinny adults seldom sink the rafts nowadays.,That skinny adult seldom sinks the rafts nowadays.,Those adults,That adult,Those,That,skinny,skinny,adults,adult,seldom,seldom,sink,sinks,"['the', 'rafts']","['the', 'rafts']",1,9645,8
9646,Those attractive hairdressers scarcely hide the drawing nowadays.,That attractive hairdresser scarcely hides the drawing nowadays.,Those hairdressers,That hairdresser,Those,That,attractive,attractive,hairdressers,hairdresser,scarcely,scarcely,hide,hides,"['the', 'drawing']","['the', 'drawing']",1,9646,8
9648,This dull student seldom kisses the teenager nowadays.,These dull students seldom kiss the teenager nowadays.,This student,These students,This,These,dull,dull,student,students,seldom,seldom,kisses,kiss,"['the', 'teenager']","['the', 'teenager']",0,9648,8
9649,Those big actresses scarcely break the cups nowadays.,That big actress scarcely breaks the cups nowadays.,Those actresses,That actress,Those,That,big,big,actresses,actress,scarcely,scarcely,break,breaks,"['the', 'cups']","['the', 'cups']",1,9649,8
9650,These elderly associates sometimes forgive the senators nowadays.,This elderly associate sometimes forgives the senators nowadays.,These associates,This associate,These,This,elderly,elderly,associates,associate,sometimes,sometimes,forgive,forgives,"['the', 'senators']","['the', 'senators']",1,9650,8
9654,These bad donations often worry the teacher nowadays.,This bad donation often worries the teacher nowadays.,These donations,This donation,These,This,bad,bad,donations,donation,often,often,worry,worries,"['the', 'teacher']","['the', 'teacher']",1,9654,8
9656,These good customers sometimes hurt the handyman nowadays.,This good customer sometimes hurts the handyman nowadays.,These customers,This customer,These,This,good,good,customers,customer,sometimes,sometimes,hurt,hurts,"['the', 'handyman']","['the', 'handyman']",1,9656,8
9657,That unusual museum ever steals the coins nowadays.,Those unusual museums ever steal the coins nowadays.,That museum,Those museums,That,Those,unusual,unusual,museum,museums,ever,ever,steals,steal,"['the', 'coins']","['the', 'coins']",0,9657,8
